striker,batting_team,runs_off_bat
"V Kohli",India,13027
"KC Sangakkara","Sri Lanka",11591
"MS Dhoni",India,10136
"RG Sharma",India,9961
"AB de Villiers","South Africa",9324
"TM Dilshan","Sri Lanka",9212
"LRPL Taylor","New Zealand",8198
"Tamim Iqbal",Bangladesh,7965
"DPMD Jayawardene","Sri Lanka",7937
"HM Amla","South Africa",7875
"MJ Guptill","New Zealand",7182
"Mushfiqur Rahim",Bangladesh,7149
"MJ Clarke",Australia,7063
"RT Ponting",Australia,6979
"EJG Morgan",England,6913
"Shakib Al Hasan",Bangladesh,6865
"S Dhawan",India,6793
"Yuvraj Singh",India,6776
"KS Williamson","New Zealand",6555
"WU Tharanga","Sri Lanka",6508
"SR Tendulkar",India,6432
"CH Gayle","West Indies",6397
"Mohammad Hafeez",Pakistan,6388
"DA Warner",Australia,6341
"JE Root",England,6217
"Q de Kock","South Africa",6176
"Shoaib Malik",Pakistan,6032
"AD Mathews","Sri Lanka",5741
"SK Raina",India,5585
"V Sehwag",India,5503
"BRM Taylor",Zimbabwe,5491
"F du Plessis","South Africa",5445
"Babar Azam",Pakistan,5409
"SR Watson",Australia,5357
"IR Bell",England,5341
"GC Smith","South Africa",5280
"AJ Finch",Australia,5258
"BB McCullum","New Zealand",5199
"MEK Hussey",Australia,5125
"G Gambhir",India,4981
"SPD Smith",Australia,4980
"SD Hope","West Indies",4941
"JP Duminy","South Africa",4928
"JH Kallis","South Africa",4908
Mahmudullah,Bangladesh,4857
"Younis Khan",Pakistan,4847
"JC Buttler",England,4830
Misbah-ul-Haq,Pakistan,4792
"PR Stirling",Ireland,4543
"H Masakadza",Zimbabwe,4490
"Mohammad Yousuf",Pakistan,4403
"ST Jayasuriya","Sri Lanka",4364
"AC Gilchrist",Australia,4355
"SC Williams",Zimbabwe,4280
"MN Samuels","West Indies",4258
"JJ Roy",England,4237
"KP Pietersen",England,4186
"PD Collingwood",England,4132
"DA Miller","South Africa",4090
"Sikandar Raza",Zimbabwe,4000
"ML Hayden",Australia,3939
"Shahid Afridi",Pakistan,3890
"S Chanderpaul","West Indies",3804
"TWM Latham","New Zealand",3797
"HH Gibbs","South Africa",3766
